Group 01: start=70445, goal=33086, length=387, cost=495135.0
Group 02: start=29649, goal=48016, length=331, cost=449967.0
Group 03: start=124761, goal=68379, length=105, cost=135936.0
Group 04: start=123757, goal=159015, length=704, cost=769417.0
Group 05: start=133926, goal=187975, length=90, cost=104306.0
Group 06: start=42241, goal=254297, length=554, cost=595709.0
Group 07: start=169781, goal=79088, length=683, cost=760437.0
Group 08: start=118859, goal=194202, length=83, cost=141029.0
Group 09: start=242749, goal=195722, length=341, cost=485629.0
Group 10: start=17083, goal=224861, length=439, cost=524163.0
Group 11: start=237177, goal=244134, length=138, cost=138694.0
Group 12: start=248811, goal=141030, length=217, cost=268095.0
Group 13: start=135795, goal=152440, length=242, cost=319405.0
Group 14: start=56008, goal=129465, length=211, cost=252881.0
Group 15: start=109565, goal=6110, length=483, cost=836387.0
Group 16: start=189542, goal=246007, length=132, cost=191998.0
Group 17: start=217143, goal=159081, length=469, cost=530026.0
Group 18: start=95034, goal=64390, length=435, cost=602300.0
Group 19: start=22677, goal=63275, length=541, cost=577738.0
Group 20: start=79275, goal=136224, length=800, cost=930012.0
Group 21: start=86481, goal=219149, length=337, cost=437077.0
Group 22: start=73593, goal=127201, length=236, cost=357923.0
Group 23: start=151999, goal=43804, length=365, cost=421019.0
Group 24: start=200729, goal=95730, length=547, cost=643615.0
Group 25: start=197636, goal=8041, length=321, cost=377238.0
Group 26: start=106300, goal=107562, length=104, cost=155696.0
Group 27: start=251596, goal=145342, length=304, cost=346756.0
Group 28: start=59222, goal=68604, length=128, cost=156722.0
Group 29: start=39906, goal=181315, length=432, cost=440764.0
Group 30: start=151622, goal=15747, length=307, cost=414413.0
Group 31: start=6437, goal=246194, length=276, cost=330657.0
Group 32: start=40591, goal=111996, length=121, cost=192432.0
Group 33: start=87689, goal=122273, length=331, cost=406841.0
Group 34: start=187208, goal=14508, length=215, cost=241116.0
Group 35: start=175830, goal=69062, length=826, cost=766277.0
Group 36: start=172333, goal=30602, length=704, cost=793077.0
Group 37: start=48026, goal=18581, length=211, cost=243954.0
Group 38: start=220791, goal=224930, length=71, cost=75226.0
Group 39: start=110022, goal=136138, length=308, cost=320313.0
Group 40: start=240441, goal=16696, length=234, cost=317092.0
Group 41: start=199764, goal=174181, length=217, cost=208352.0
Group 42: start=58369, goal=13112, length=455, cost=638018.0
Group 43: start=20212, goal=149990, length=397, cost=409561.0
Group 44: start=214190, goal=61161, length=778, cost=742160.0
Group 45: start=142541, goal=218990, length=190, cost=258472.0
Group 46: start=40046, goal=209712, length=337, cost=390184.0
Group 47: start=184468, goal=32781, length=449, cost=555727.0
Group 48: start=165388, goal=69149, length=667, cost=760140.0
Group 49: start=35066, goal=180528, length=507, cost=610228.0
Group 50: start=260852, goal=139551, length=317, cost=600405.0
Group 51: start=127673, goal=263302, length=660, cost=907716.0
Group 52: start=140675, goal=28585, length=166, cost=201154.0
Group 53: start=113274, goal=239330, length=348, cost=489854.0
Group 54: start=72078, goal=230129, length=664, cost=728236.0
Group 55: start=47364, goal=102889, length=247, cost=370335.0
Group 56: start=6027, goal=248340, length=128, cost=292803.0
Group 57: start=22316, goal=192808, length=312, cost=583563.0
Group 58: start=103367, goal=107858, length=30, cost=46553.0
Group 59: start=117537, goal=44359, length=287, cost=412682.0
Group 60: start=161379, goal=148594, length=217, cost=231879.0
Group 61: start=259253, goal=95265, length=654, cost=959797.0
Group 62: start=90715, goal=34159, length=560, cost=779789.0
Group 63: start=233381, goal=232904, length=45, cost=78120.0
Group 64: start=249644, goal=65457, length=547, cost=820766.0
Group 65: start=217445, goal=151437, length=218, cost=213178.0
Group 66: start=37124, goal=163570, length=522, cost=495725.0
Group 67: start=39213, goal=60866, length=385, cost=474189.0
Group 68: start=244510, goal=262553, length=81, cost=298107.0
Group 69: start=19558, goal=50246, length=235, cost=278984.0
Group 70: start=62093, goal=154182, length=721, cost=818779.0
Group 71: start=169739, goal=4445, length=405, cost=589644.0
Group 72: start=38496, goal=97657, length=160, cost=277155.0
Group 73: start=146703, goal=64073, length=483, cost=512936.0
Group 74: start=59564, goal=167390, length=640, cost=737049.0
Group 75: start=236372, goal=228914, length=311, cost=509111.0
Group 76: start=194278, goal=242880, length=382, cost=777876.0
Group 77: start=132502, goal=170868, length=707, cost=735489.0
Group 78: start=98387, goal=50343, length=108, cost=174833.0
Group 79: start=76198, goal=229377, length=697, cost=877747.0
Group 80: start=142339, goal=206538, length=158, cost=153048.0
Group 81: start=237651, goal=177255, length=538, cost=753557.0
Group 82: start=75875, goal=256847, length=883, cost=934336.0
Group 83: start=260128, goal=241130, length=136, cost=173541.0
Group 84: start=148681, goal=19571, length=400, cost=435935.0
Group 85: start=104641, goal=56156, length=146, cost=210592.0
Group 86: start=16270, goal=166450, length=411, cost=503878.0
Group 87: start=76522, goal=99182, length=220, cost=346773.0
Group 88: start=208398, goal=99358, length=513, cost=616264.0
Group 89: start=42514, goal=135684, length=371, cost=411193.0
Group 90: start=106781, goal=48598, length=325, cost=380977.0
Group 91: start=43788, goal=90373, length=488, cost=608115.0
Group 92: start=220748, goal=139430, length=651, cost=588818.0
Group 93: start=259181, goal=185228, length=434, cost=733036.0
Group 94: start=95712, goal=65074, length=445, cost=564081.0
Group 95: start=67278, goal=258984, length=698, cost=1001254.0
Group 96: start=194298, goal=164973, length=798, cost=1063821.0
Group 97: start=101993, goal=224900, length=338, cost=469112.0
Group 98: start=186855, goal=22586, length=286, cost=266808.0
Group 99: start=211800, goal=199624, length=151, cost=155167.0
